Payload_ID,Method_Code,Method_Name,Latency_ms,Threat_Detected_Score
1,1,Heuristics,33.32,1
2,1,Heuristics,24.99,1
3,1,Heuristics,29.26,1
4,1,Heuristics,26.82,1
5,1,Heuristics,25.91,0
6,1,Heuristics,26.75,1
7,1,Heuristics,26.34,1
8,1,Heuristics,27.34,1
9,1,Heuristics,27.01,1
10,1,Heuristics,28.41,0
11,1,Heuristics,28.76,1
12,1,Heuristics,27.8,1
13,1,Heuristics,30.93,1
14,1,Heuristics,27.13,1
15,1,Heuristics,30.58,1
16,1,Heuristics,28.22,1
17,1,Heuristics,29.69,1
18,1,Heuristics,30.8,0
19,1,Heuristics,28.39,1
20,1,Heuristics,28.84,1
21,1,Heuristics,25.85,1
22,1,Heuristics,27.73,0
23,1,Heuristics,25.77,0
24,1,Heuristics,26.73,1
25,1,Heuristics,28.08,1
26,1,Heuristics,26.66,0
27,1,Heuristics,22.98,1
28,1,Heuristics,28.28,1
29,1,Heuristics,26.16,1
30,1,Heuristics,32.54,1
31,1,Heuristics,33.18,1
32,1,Heuristics,32.78,1
33,1,Heuristics,25.79,1
34,1,Heuristics,27.52,0
35,1,Heuristics,28.87,1
36,1,Heuristics,31.33,1
37,1,Heuristics,29.06,1
38,1,Heuristics,30.9,1
39,1,Heuristics,26.72,0
40,1,Heuristics,29.9,1
41,1,Heuristics,30.44,1
42,1,Heuristics,24.98,0
43,1,Heuristics,26.46,1
44,1,Heuristics,31.9,1
45,1,Heuristics,26.58,1
46,1,Heuristics,30.53,1
47,1,Heuristics,27.75,1
48,1,Heuristics,31.23,1
49,1,Heuristics,27.65,1
50,1,Heuristics,26.94,1
51,2,AI,32.81,1
52,2,AI,33.82,1
53,2,AI,30.17,1
54,2,AI,34.12,1
55,2,AI,31.39,1
56,2,AI,23.54,1
57,2,AI,33.89,0
58,2,AI,25.2,1
59,2,AI,35.52,1
60,2,AI,27.79,1
61,2,AI,25.55,1
62,2,AI,27.53,1
63,2,AI,30.53,1
64,2,AI,26.55,1
65,2,AI,31.11,1
66,2,AI,29.6,1
67,2,AI,30.11,1
68,2,AI,29.64,1
69,2,AI,29.3,1
70,2,AI,27.97,1
71,2,AI,35.45,1
72,2,AI,32.87,1
73,2,AI,33.36,1
74,2,AI,30.18,1
75,2,AI,33.41,1
76,2,AI,30.05,1
77,2,AI,37.82,1
78,2,AI,31.05,1
79,2,AI,28.37,1
80,2,AI,30.95,1
81,2,AI,22.52,1
82,2,AI,31.77,1
83,2,AI,34.59,1
84,2,AI,30.98,1
85,2,AI,31.79,1
86,2,AI,22.18,1
87,2,AI,27.7,1
88,2,AI,37.35,1
89,2,AI,29.75,1
90,2,AI,28.09,1
91,2,AI,35.49,1
92,2,AI,28.89,1
93,2,AI,36.62,1
94,2,AI,28.14,1
95,2,AI,32.74,1
96,2,AI,31.5,1
97,2,AI,26.57,1
98,2,AI,29.56,1
99,2,AI,24.57,1
100,2,AI,31.72,1
