Test_ID,Architecture_Code,Architecture_Name,API_Response_Time_ms
1,1,Legacy SQLite,85.12
2,1,Legacy SQLite,92.34
3,1,Legacy SQLite,78.91
4,1,Legacy SQLite,88.45
5,1,Legacy SQLite,95.67
6,1,Legacy SQLite,81.23
7,1,Legacy SQLite,89.56
8,1,Legacy SQLite,76.45
9,1,Legacy SQLite,91.82
10,1,Legacy SQLite,84.73
11,1,Legacy SQLite,93.15
12,1,Legacy SQLite,79.88
13,1,Legacy SQLite,87.62
14,1,Legacy SQLite,96.54
15,1,Legacy SQLite,82.39
16,1,Legacy SQLite,90.21
17,1,Legacy SQLite,77.68
18,1,Legacy SQLite,86.95
19,1,Legacy SQLite,94.32
20,1,Legacy SQLite,80.17
21,2,Supabase Multi-threaded,28.45
22,2,Supabase Multi-threaded,24.32
23,2,Supabase Multi-threaded,31.67
24,2,Supabase Multi-threaded,27.89
25,2,Supabase Multi-threaded,22.54
26,2,Supabase Multi-threaded,29.81
27,2,Supabase Multi-threaded,26.73
28,2,Supabase Multi-threaded,32.45
29,2,Supabase Multi-threaded,25.92
30,2,Supabase Multi-threaded,30.15
31,2,Supabase Multi-threaded,23.86
32,2,Supabase Multi-threaded,28.94
33,2,Supabase Multi-threaded,31.27
34,2,Supabase Multi-threaded,26.41
35,2,Supabase Multi-threaded,21.95
36,2,Supabase Multi-threaded,29.38
37,2,Supabase Multi-threaded,25.62
38,2,Supabase Multi-threaded,33.19
39,2,Supabase Multi-threaded,27.14
40,2,Supabase Multi-threaded,24.87
