Test_ID,Architecture_Code,Architecture_Name,API_Response_Time_ms,UI_Freeze_Occurred
1,1,Legacy SQLite,75.07,1
2,1,Legacy SQLite,86.95,1
3,1,Legacy SQLite,94.1,0
4,1,Legacy SQLite,85.47,0
5,1,Legacy SQLite,99.75,0
6,1,Legacy SQLite,92.33,1
7,1,Legacy SQLite,93.79,0
8,1,Legacy SQLite,75.66,0
9,1,Legacy SQLite,83.92,0
10,1,Legacy SQLite,97.74,0
11,1,Legacy SQLite,90.45,0
12,1,Legacy SQLite,97.18,1
13,1,Legacy SQLite,107.18,0
14,1,Legacy SQLite,74.06,1
15,1,Legacy SQLite,82.65,1
16,1,Legacy SQLite,81.39,1
17,1,Legacy SQLite,70.11,1
18,1,Legacy SQLite,86.76,0
19,1,Legacy SQLite,100.02,1
20,1,Legacy SQLite,57.04,1
21,1,Legacy SQLite,73.69,1
22,1,Legacy SQLite,87.64,1
23,1,Legacy SQLite,78.29,1
24,1,Legacy SQLite,83.48,1
25,1,Legacy SQLite,65.06,1
26,1,Legacy SQLite,56.76,1
27,1,Legacy SQLite,71.09,1
28,1,Legacy SQLite,75.55,1
29,1,Legacy SQLite,65.37,1
30,1,Legacy SQLite,78.66,1
31,1,Legacy SQLite,102.05,1
32,1,Legacy SQLite,85.88,0
33,1,Legacy SQLite,73.22,0
34,1,Legacy SQLite,115.56,0
35,1,Legacy SQLite,89.11,1
36,1,Legacy SQLite,99.82,0
37,1,Legacy SQLite,85.64,1
38,1,Legacy SQLite,103.51,0
39,1,Legacy SQLite,63.71,1
40,1,Legacy SQLite,98.72,1
41,1,Legacy SQLite,68.9,0
42,1,Legacy SQLite,86.57,1
43,1,Legacy SQLite,95.53,1
44,1,Legacy SQLite,102.97,1
45,1,Legacy SQLite,92.28,1
46,1,Legacy SQLite,87.25,1
47,1,Legacy SQLite,102.7,0
48,1,Legacy SQLite,78.76,1
49,1,Legacy SQLite,71.27,1
50,1,Legacy SQLite,87.68,0
51,2,Supabase Multi-threaded,31.16,0
52,2,Supabase Multi-threaded,34.5,1
53,2,Supabase Multi-threaded,24.4,0
54,2,Supabase Multi-threaded,28.89,0
55,2,Supabase Multi-threaded,28.71,0
56,2,Supabase Multi-threaded,23.18,0
57,2,Supabase Multi-threaded,30.24,0
58,2,Supabase Multi-threaded,29.45,0
59,2,Supabase Multi-threaded,29.12,0
60,2,Supabase Multi-threaded,24.76,0
61,2,Supabase Multi-threaded,26.48,0
62,2,Supabase Multi-threaded,33.95,0
63,2,Supabase Multi-threaded,26.51,0
64,2,Supabase Multi-threaded,31.75,0
65,2,Supabase Multi-threaded,32.3,0
66,2,Supabase Multi-threaded,28.87,1
67,2,Supabase Multi-threaded,25.19,0
68,2,Supabase Multi-threaded,20.64,0
69,2,Supabase Multi-threaded,26.08,0
70,2,Supabase Multi-threaded,28.61,0
71,2,Supabase Multi-threaded,28.42,0
72,2,Supabase Multi-threaded,23.55,0
73,2,Supabase Multi-threaded,25.2,0
74,2,Supabase Multi-threaded,23.14,0
75,2,Supabase Multi-threaded,27.64,0
76,2,Supabase Multi-threaded,30.91,0
77,2,Supabase Multi-threaded,27.35,0
78,2,Supabase Multi-threaded,30.39,0
79,2,Supabase Multi-threaded,23.99,0
80,2,Supabase Multi-threaded,29.06,0
81,2,Supabase Multi-threaded,24.61,0
82,2,Supabase Multi-threaded,23.29,1
83,2,Supabase Multi-threaded,35.93,0
84,2,Supabase Multi-threaded,26.91,0
85,2,Supabase Multi-threaded,29.26,0
86,2,Supabase Multi-threaded,34.3,0
87,2,Supabase Multi-threaded,34.12,0
88,2,Supabase Multi-threaded,31.39,0
89,2,Supabase Multi-threaded,23.07,0
90,2,Supabase Multi-threaded,20.3,0
91,2,Supabase Multi-threaded,26.83,0
92,2,Supabase Multi-threaded,28.35,0
93,2,Supabase Multi-threaded,32.46,0
94,2,Supabase Multi-threaded,26.68,0
95,2,Supabase Multi-threaded,29.38,0
96,2,Supabase Multi-threaded,32.97,0
97,2,Supabase Multi-threaded,29.46,0
98,2,Supabase Multi-threaded,26.26,0
99,2,Supabase Multi-threaded,32.17,0
100,2,Supabase Multi-threaded,26.52,0
